# File Name: DEC_PMMoV_REDO_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2024-03-15 11:37:54 AM EDT
# Run End Data/Time: 2024-03-15 12:35:56 PM EDT
# Run Duration: 58 minutes 2 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 04:13:36 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 04:13:43 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"44","D8","FALSE","PR-231206-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.106983636317924","","","19.822480693419806","0.8199311016619335","19.973341561927516","0.21334948627486908","FALSE","0.04","TRUE","3","17"
"45","D9","FALSE","PR-231206-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1003565783634595","","","20.124202430435226","0.8293367123976814","19.973341561927516","0.21334948627486908","FALSE","0.04","TRUE","3","17"
"46","D10","FALSE","800.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1032016856978804","","","30.91436794344075","0.845645546626617","30.802418576423964","0.1035618624898064","FALSE","0.04","TRUE","3","28"
"47","D11","FALSE","800.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1000927478137292","","","30.710035600168027","0.8469907792476563","30.802418576423964","0.1035618624898064","FALSE","0.04","TRUE","3","27"
"48","D12","FALSE","800.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.0970984225138507","","","30.782852185663117","0.8295265254176034","30.802418576423964","0.1035618624898064","FALSE","0.04","TRUE","3","28"
"49","E1","FALSE","PR-231204-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","INCONCLUSIVE","0.9578759640990062","","","36.407479401493916","0.678583643486064","36.41705454730079","0.5198820648780705","FALSE","0.04","TRUE","3","33"
"50","E2","FALSE","PR-231204-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.000055278920101","","","35.902026192380944","0.713289209232765","36.41705454730079","0.5198820648780705","FALSE","0.04","TRUE","3","33"
"51","E3","FALSE","PR-231204-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","INCONCLUSIVE","0.8761656448942183","","","36.94165804802752","0.625774349347317","36.41705454730079","0.5198820648780705","FALSE","0.04","TRUE","3","34"
"52","E4","FALSE","PR-231207-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.6843596552197341","","","38.821321783302736","0.048934910559891374","","","FALSE","0.04","TRUE","3","35"
"53","E5","FALSE","PR-231207-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","23"
"54","E6","FALSE","PR-231207-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"55","E7","FALSE","PR-231206-Neg-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"56","E8","FALSE","PR-231206-Neg-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0925443756187958","","","34.341907483017934","0.7755194579133655","35.158907443966896","1.1554124252323874","FALSE","0.04","TRUE","3","31"
"57","E9","FALSE","PR-231206-Neg-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","0.997334131391328","","","35.97590740491586","0.7129323732389998","35.158907443966896","1.1554124252323874","FALSE","0.04","TRUE","3","33"
"58","E10","FALSE","80.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.0983497905607678","","","33.52279843217198","0.8135193027522757","33.94848520062224","0.6223401246999343","FALSE","0.04","TRUE","3","30"
"59","E11","FALSE","80.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.0801303564651454","","","34.662726941631746","0.7817837562193246","33.94848520062224","0.6223401246999343","FALSE","0.04","TRUE","3","31"
"60","E12","FALSE","80.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.0917172796162475","","","33.659930228062976","0.8010083070439131","33.94848520062224","0.6223401246999343","FALSE","0.04","TRUE","3","30"
"61","F1","FALSE","PR-231211-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.082534278006135","","","23.301688137634322","0.8407633278050053","23.334348958544656","0.06897056250268686","FALSE","0.04","TRUE","3","20"
"62","F2","FALSE","PR-231211-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.083149067038585","","","23.425154860277658","0.8537360497956205","23.47447418170917","0.05584459623375248","FALSE","0.04","TRUE","3","20"
"63","F3","FALSE","PR-231211-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0876899974677545","","","23.24342934873775","0.8419312428517797","23.315069482688035","0.06334693222250706","FALSE","0.04","TRUE","3","20"
"64","F4","FALSE","PR-231211-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0867295847359717","","","21.589185262331902","0.8362161813426212","21.633552603055865","0.045687418343150106","FALSE","0.04","TRUE","3","18"
"65","F5","FALSE","PR-231211-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"66","F6","FALSE","PR-231213-DN1-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.09244551012124","","","24.15291968646377","0.8459118176431731","23.80568039455685","0.7578373490581933","FALSE","0.04","TRUE","3","21"
